Date,Open,High,Low,Close,Volume
2024-12-07,220.13,221.91,213.74,219.16,86291923
2024-12-08,220.01,224.26,217.12,219.57,62988787
2024-12-09,221.4,222.8199,218.93,221.33,49632824
2024-12-10,221.59,222.08,217.9,220.89,50791784
2024-12-11,220.71,222.28,219.23,220.7,49611867
2024-12-12,218.9,220.48,215.726,218.85,47328988
2024-12-13,217.31,218.22,215.26,217.97,43268741
2024-12-14,217.125,218.72,212.11,213.65,80938892
2024-12-15,244.68,262.1199,242.65,260.48,204491903
2024-12-16,256.01,269.49,255.32,269.19,161611931
2024-12-17,270.0,273.536,262.24,262.51,107653603
2024-12-18,264.51,264.98,255.51,259.52,80521751
2024-12-19,258.035,263.35,255.8201,257.55,53993576
2024-12-20,257.99,259.75,249.25,249.85,66575292
2024-12-21,252.043,254.0,246.63,248.98,57544757
2024-12-22,244.56,248.9,238.88,242.84,68802354
2024-12-23,247.34,255.2799,246.2101,251.44,69282505
2024-12-24,284.67,289.59,275.62,288.53,165228710
2024-12-25,288.89,299.75,285.52,296.91,117309232
2024-12-26,299.14,328.71,297.66,321.22,204782763
2024-12-27,346.3,358.64,336.0,350.0,210521625
2024-12-28,342.74,345.84,323.31,328.49,155726016
2024-12-29,335.85,344.5999,322.5,330.24,125405599
2024-12-30,327.69,329.98,310.37,311.18,120726109
2024-12-31,310.57,324.6799,309.22,320.72,114440286
2025-01-01,340.73,348.5499,330.01,338.74,126547455
2025-01-02,335.76,347.3799,332.75,346.0,88852452
2025-01-03,345.0,346.5999,334.3,342.03,66340650
2025-01-04,343.81,347.9899,335.28,339.64,58011719
2025-01-05,341.085,361.53,337.7,352.56,89140722
2025-01-06,360.14,361.93,338.2,338.59,95890899
2025-01-07,341.0,346.96,335.66,338.23,62295857
2025-01-08,341.8,342.55,326.59,332.89,57896439
2025-01-09,336.08,345.45,334.65,345.16,37167621
2025-01-10,352.38,360.0,351.1501,357.09,77986478
2025-01-11,351.8,355.69,348.2,351.42,58267196
2025-01-12,353.0,358.1,348.6,357.93,50810874
2025-01-13,359.87,375.43,359.5,369.49,81403569
2025-01-14,377.42,389.49,370.8,389.22,81455834
2025-01-15,397.61,404.8,378.01,389.79,96359173
2025-01-16,392.68,409.73,390.85,400.99,97563578
2025-01-17,409.7,424.88,402.38,424.77,104287559
2025-01-18,424.84,429.3,415.0,418.1,87752225
2025-01-19,420.0,436.3,415.71,436.23,89000158
2025-01-20,441.09,463.19,436.15,463.02,114083811
2025-01-21,475.9,483.99,457.5101,479.86,131222978
2025-01-22,466.495,488.5399,427.01,440.13,149340788
2025-01-23,451.88,456.36,420.02,436.17,118566146
2025-01-24,425.505,447.08,417.64,421.06,132216176
2025-01-25,431.0,434.51,415.4112,430.6,72698055
2025-01-26,435.9,462.78,435.14,462.28,59551750
2025-01-27,465.16,465.3299,451.02,454.13,76651210
2025-01-28,449.52,450.0,426.5,431.66,82666821
2025-01-29,419.4,427.0,415.75,417.41,64941012
2025-01-30,423.79,427.93,402.54,403.84,76825121
2025-01-31,390.1,392.7299,373.04,379.28,109710749
2025-02-01,381.48,411.8799,379.45,410.44,95423329
2025-02-02,423.2,426.43,401.7,411.05,85516534
2025-02-03,405.83,414.33,390.0,394.36,75699525
2025-02-04,392.95,402.4999,387.4,394.94,73038805
2025-02-05,391.4,399.28,377.29,394.74,62287333
2025-02-06,383.21,403.79,380.07,403.31,67580494
2025-02-07,414.34,422.64,394.54,396.36,84565022
2025-02-08,409.9,429.8,405.661,428.22,81375460
2025-02-09,423.49,424.0,409.13,413.82,68335151
2025-02-10,421.5,439.74,419.75,426.5,94991429
2025-02-11,432.64,433.2,406.31,424.07,87320894
2025-02-12,416.81,428.0,414.59,415.11,60963342
2025-02-13,416.06,420.73,408.95,412.38,50690592
2025-02-14,414.45,418.88,405.78,406.58,56427149
2025-02-15,394.8,406.69,389.0,397.15,58125510
2025-02-16,396.91,400.59,386.5,398.09,48910676
2025-02-17,395.21,398.5899,384.48,389.1,68033648
2025-02-18,410.78,412.5,384.41,400.28,98092879
2025-02-19,401.53,419.99,401.34,404.6,83568219
2025-02-20,386.68,389.17,374.36,383.68,93732122
2025-02-21,382.63,394.0,381.4,392.21,57072235
2025-02-22,387.51,388.39,375.53,378.17,57614721
2025-02-23,373.03,375.4,363.18,374.32,77918230
2025-02-24,370.19,380.5459,360.34,361.62,70298258
2025-02-25,356.21,362.7,350.51,350.73,77514903
2025-02-26,345.8,349.37,325.1,328.5,118543400
2025-02-27,329.94,346.4,329.12,336.51,105382729
2025-02-28,345.0,358.69,342.85,355.94,89441519
2025-03-01,360.62,362.0,347.5,355.84,68277279
2025-03-02,355.01,359.1,350.02,354.11,51631702
2025-03-03,354.0,367.34,353.67,360.56,67094374
2025-03-04,361.51,362.3,348.0,354.4,45965354
2025-03-05,353.44,354.98,334.42,337.8,74058648
2025-03-06,338.14,342.3973,324.7,330.53,76052321
2025-03-07,327.025,328.89,297.2512,302.8,134228777
2025-03-08,303.715,309.0,288.04,290.8,100118276
2025-03-09,291.16,297.23,280.88,281.95,101748197
2025-03-10,279.5,293.88,273.6,292.98,115696968
2025-03-11,300.34,303.94,277.3,284.65,115551414
2025-03-12,270.93,284.35,261.8401,272.04,126706623
2025-03-13,272.92,279.55,267.71,279.1,94042913
2025-03-14,272.06,272.65,260.02,263.45,98451566
2025-03-15,259.32,266.2499,250.73,262.67,102369640
2025-03-16,252.54,253.37,220.0,222.15,185037825
2025-03-17,225.305,237.0649,217.02,230.58,174896415
2025-03-18,247.22,251.84,241.1,248.09,142215681
2025-03-19,248.125,248.29,232.6,240.68,114813525
2025-03-20,247.31,251.58,240.73,249.98,100242264
2025-03-21,245.055,245.4,232.8,238.01,111900565
2025-03-22,228.155,230.1,222.28,225.31,111477636
2025-03-23,231.61,241.41,229.201,235.86,111993753
2025-03-24,233.345,238.0,230.0501,236.26,99028270
2025-03-25,234.985,249.52,234.55,248.71,132728684
2025-03-26,258.075,278.64,256.33,278.39,169079865
2025-03-27,283.6,288.2,271.28,288.14,150361538
2025-03-28,282.66,284.9,266.51,272.06,156254441
2025-03-29,272.48,291.85,271.8216,273.13,162572146
2025-03-30,275.575,276.1,260.57,263.55,123809389
2025-03-31,249.31,260.56,243.3601,259.16,134008936
2025-04-01,263.8,277.45,259.25,268.46,146486911
2025-04-02,254.6,284.99,251.27,282.76,212787817
2025-04-03,265.29,276.3,261.51,267.28,136174291
2025-04-04,255.38,261.0,236.0,239.43,181229353
